taskname,hololens,euclideanError,recalibratedEuclideanError,cosineError
ssHeadConstrained,A,13.639647469429656,2.3259584366309536,13.400987287149277
ssHeadConstrained,A,7.491988948672466,2.776095804083742,7.427129687582007
ssHeadConstrained,A,7.7194172126649665,1.9197484068858923,7.667977355546812
ssHeadConstrained,A,7.35278060298752,4.8361603442117564,7.267360599356879
ssHeadConstrained,A,6.288008086002696,4.542643344269376,6.211969190068293
ssHeadConstrained,A,5.132837114582343,2.2114002534751243,5.037780347668689
ssHeadConstrained,A,2.026319900457464,3.6230837858984972,1.9978817675985738
ssHeadConstrained,B,7.889434587234926,3.245831068676306,7.777333806338591
ssHeadConstrained,B,6.1137892935522675,1.491649296992005,6.055104084864561
ssHeadConstrained,B,4.49455943296923,1.9456051495798548,4.416037693203242
ssHeadConstrained,B,3.9557110263620676,2.7398889907695128,3.906147595288822
ssHeadConstrained,B,6.818717583502711,6.753712337852892,6.690544124645124
ssHeadConstrained,B,12.239967591869224,2.1962872254787236,12.010252681982289
ssHeadConstrained,B,3.832025003613318,5.703565541559082,3.7897431937921073
ssHeadConstrained,B,2.7572235931999107,3.696711509425022,2.723195732320165
ssHeadConstrained,B,12.596999260615815,2.1951338410197256,12.371643429065745
ssHeadConstrained,B,14.38208179491413,1.6532610295650545,14.120098710271815
ssHeadConstrained,B,11.339685054785916,3.20644914155326,11.126238846072754
ssHeadConstrained,B,12.32480985256753,1.227275355184035,12.09854097206592
ssHeadConstrained,B,2.100971331134686,6.905011660609267,2.085047675601588
ssHeadConstrained,B,3.403679051514971,2.8866089487381275,3.358729496757116
ssHeadConstrained,B,9.147059788731102,3.6878878273683777,9.001391623862201
ssHeadConstrained,B,7.499784359567391,2.1953123976417714,7.38038520558191
ssHeadConstrained,B,3.9152041973078058,6.572880249976451,3.8514387258833147
ssHeadConstrained,B,6.841763069229184,3.508582572627115,6.722926063674805
ssHeadConstrained,B,8.386560852656917,2.7842547147154915,8.25151613359725
ssHeadConstrained,B,8.787148858485445,3.3037522983906875,8.648925052961609
ssHeadConstrained,B,5.07043701005868,2.4271284030431564,4.993162907613078
ssHeadConstrained,B,6.418903209366375,1.2320976738513785,6.305932457426628
ssHeadConstrained,B,10.211369827087342,5.464638617832485,10.028093101209382
ssHeadConstrained,B,8.206733068792197,4.61568054201423,8.073877465079976
ssHeadConstrained,B,3.977439082900659,3.901809998834898,3.9460354434674567
ssHeadConstrained,B,4.601835623068888,2.618368027109058,4.530387598755274
ssHeadConstrained,B,17.890531782255476,4.440933543116488,17.53933509807923
ssHeadConstrained,B,16.0752007415222,4.606279419250536,15.775866095244579
ssHeadConstrained,B,6.082495217006882,3.227262812971233,5.965393106328434
ssHeadConstrained,B,7.132428539009233,4.861755569889147,7.004525890906198
ssHeadConstrained,B,2.1740602676899683,7.875946136974309,2.152579952052475
ssHeadConstrained,B,5.4601213573824054,6.07803569505814,5.401688287092381
ssHeadConstrained,B,8.571864260261211,3.41372355120545,8.418083163781537
ssHeadConstrained,B,8.570306809566237,2.848212574541204,8.41484019056219
ssHeadConstrained,B,20.308787294724514,3.9710539126655138,19.930830523972997
ssHeadConstrained,B,22.654035655199085,2.6529703316555175,22.236800823421905
ssHeadConstrained,B,3.759057663689766,2.776012371945606,3.6956920444909382
ssHeadConstrained,B,9.643316026928472,4.467341280460897,9.4803202197042
ssHeadConstrained,B,24.8233588257559,3.3741319275740893,24.357190733282525
ssHeadConstrained,B,16.16537653753384,4.81277830014161,15.848129726924208
ssHeadConstrained,B,6.860654804911716,1.5832843990556298,6.744761162783538
ssHeadConstrained,B,5.084752457815007,3.5096680366894204,5.004019081179819
ssHeadConstrained,B,7.700352491570764,2.5763332668989554,7.572192777028596
ssHeadConstrained,B,8.358635548215338,3.9978869909219155,8.2223104455361
ssHeadConstrained,B,10.001318530075336,5.942783338588311,9.815925842247049
ssHeadConstrained,B,5.568197177168904,3.10203038481916,5.513889819616633
ssHeadConstrained,B,5.688682853955418,1.7635178884865947,5.5927476622978665
ssHeadConstrained,B,4.441072017550192,2.247994078950347,4.366566862940839
ssHeadConstrained,B,9.471193633124239,1.6612003048593642,9.310755095988036
ssHeadConstrained,B,3.7864154988979535,4.220877223866331,3.7360653054318673
wsBodyConstrained,A,22.739039827413162,22.397599362250208,21.854190665348888
wsBodyConstrained,A,26.21417653660381,24.99860155905798,25.420847774863372
wsBodyConstrained,A,17.767231131356105,18.64542369362081,17.40602765314187
wsBodyConstrained,A,18.18597658596064,19.164539073820073,17.877507294311012
wsBodyConstrained,A,23.881282988798887,25.083022622788615,23.26800285451916
wsBodyConstrained,A,21.138584314603303,22.558985815117033,20.654901150491398
wsBodyConstrained,A,24.24689850995753,24.922152493883875,23.527437808071365
wsBodyConstrained,A,21.43496555789038,22.364155106660693,20.851381781454858
wsBodyConstrained,A,24.607381834486965,26.26700181195651,24.090080391332567
wsBodyConstrained,A,29.197219422301718,31.047810155951552,28.329179287935037
wsBodyConstrained,A,24.301360858708545,23.42366603649995,23.60972437808579
wsBodyConstrained,A,22.86858229472107,21.922063601740287,22.178951569585568
wsBodyConstrained,A,23.909305410549607,24.00514166738177,23.343394962380657
wsBodyConstrained,A,20.963743591494346,21.24098628209338,20.555561058714922
wsBodyConstrained,A,20.40928035594404,20.480833840847833,19.70228368404269
wsBodyConstrained,A,25.270844057986103,25.779577557691262,24.546124368776717
wsBodyConstrained,A,25.647720265094364,27.261333497292714,24.861464646775726
wsBodyConstrained,A,26.68907462869619,29.000831640230487,25.915370832581118
wsBodyConstrained,A,22.02084967064421,21.044191110013525,21.495992524232
wsBodyConstrained,A,20.005547438571284,19.096125254944763,19.61480561122854
wsBodyConstrained,A,20.098303895485934,20.716356248028834,19.647482823590902
wsBodyConstrained,A,19.56847286949199,20.318316233789243,19.110678367235938
wsBodyConstrained,A,24.497323214731804,25.248758310350905,23.820883296539147
wsBodyConstrained,A,25.723838489729715,26.54632794808486,24.996180794546305
wsBodyConstrained,A,17.732508296943614,17.692851671400426,17.403013316628687
wsBodyConstrained,A,15.221458588787563,15.822613703455623,14.93908611007585
